VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,pickup_dt
2,2025-02-01 17:08:28,2025-02-01 18:02:45,1.0,20.68,2.0,N,132,239,1,70.0,0.0,0.5,16.19,6.94,1.0,98.88,2.5,1.75,0.0,2025-02-01 17:08:28
2,2025-02-01 20:20:32,2025-02-01 20:55:41,5.0,15.62,1.0,N,132,260,2,61.1,1.0,0.5,0.0,0.0,1.0,65.35,0.0,1.75,0.0,2025-02-01 20:20:32
2,2025-02-01 10:49:29,2025-02-01 11:09:38,1.0,9.37,1.0,N,138,164,1,38.0,5.0,0.5,11.29,6.94,1.0,67.73,2.5,1.75,0.75,2025-02-01 10:49:29
2,2025-02-01 13:38:04,2025-02-01 14:28:59,3.0,18.68,2.0,N,132,113,1,70.0,0.0,0.5,16.34,6.94,1.0,99.78,2.5,1.75,0.75,2025-02-01 13:38:04
2,2025-02-01 15:07:01,2025-02-01 15:55:56,1.0,20.67,2.0,N,132,264,1,70.0,0.0,0.5,16.54,6.94,1.0,99.23,2.5,1.75,0.0,2025-02-01 15:07:01
1,2025-02-01 19:45:33,2025-02-01 20:34:00,1.0,16.9,2.0,N,132,100,1,70.0,5.0,0.5,16.7,6.94,1.0,100.14,2.5,1.75,0.75,2025-02-01 19:45:33
2,2025-02-01 19:04:30,2025-02-01 19:32:48,1.0,13.73,1.0,N,138,139,2,51.3,5.0,0.5,0.0,0.0,1.0,59.55,0.0,1.75,0.0,2025-02-01 19:04:30
1,2025-02-01 20:25:33,2025-02-01 21:02:32,1.0,16.7,2.0,N,132,162,1,70.0,5.0,0.5,16.7,6.94,1.0,100.14,2.5,1.75,0.75,2025-02-01 20:25:33
2,2025-02-01 11:01:21,2025-02-01 11:39:41,1.0,10.53,1.0,N,138,142,1,49.2,5.0,0.5,13.03,6.94,1.0,79.92,2.5,1.75,0.0,2025-02-01 11:01:21
2,2025-02-01 10:40:15,2025-02-01 11:10:29,2.0,17.37,2.0,N,186,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75,2025-02-01 10:40:15
2,2025-02-01 23:01:40,2025-02-01 23:54:47,1.0,19.07,2.0,N,132,143,1,70.0,0.0,0.5,16.34,6.94,1.0,99.78,2.5,1.75,0.75,2025-02-01 23:01:40
2,2025-02-01 13:48:50,2025-02-01 14:10:24,1.0,11.04,1.0,N,132,138,1,42.9,5.0,0.5,9.88,0.0,1.0,61.03,0.0,1.75,0.0,2025-02-01 13:48:50
1,2025-02-01 14:35:34,2025-02-01 15:11:15,1.0,11.4,1.0,N,138,145,1,47.8,10.0,0.5,0.0,6.94,1.0,66.24,2.5,1.75,0.75,2025-02-01 14:35:34
2,2025-02-01 13:25:20,2025-02-01 13:33:48,2.0,1.53,1.0,N,161,138,2,10.0,0.0,0.5,0.0,0.0,1.0,14.75,2.5,0.0,0.75,2025-02-01 13:25:20
2,2025-02-01 20:08:11,2025-02-01 21:07:23,2.0,20.81,2.0,N,132,239,2,70.0,0.0,0.5,0.0,6.94,1.0,82.69,2.5,1.75,0.0,2025-02-01 20:08:11
2,2025-02-01 20:35:42,2025-02-01 21:07:50,1.0,11.55,3.0,N,138,211,1,68.5,6.0,0.0,15.25,0.0,1.0,93.25,0.0,1.75,0.75,2025-02-01 20:35:42
2,2025-02-01 12:57:26,2025-02-01 13:29:16,1.0,9.35,1.0,N,138,230,1,43.6,5.0,0.5,7.0,0.0,1.0,62.1,2.5,1.75,0.75,2025-02-01 12:57:26
2,2025-02-01 16:06:59,2025-02-01 16:07:05,1.0,0.03,5.0,N,216,132,1,83.0,0.0,0.0,0.0,0.0,1.0,84.0,0.0,0.0,0.0,2025-02-01 16:06:59
2,2025-02-01 11:07:11,2025-02-01 11:32:28,3.0,9.42,1.0,N,138,186,2,41.5,5.0,0.5,0.0,6.94,1.0,59.94,2.5,1.75,0.75,2025-02-01 11:07:11
2,2025-02-01 22:47:26,2025-02-01 23:08:28,1.0,11.21,1.0,N,132,122,2,43.6,1.0,0.5,0.0,0.0,1.0,47.85,0.0,1.75,0.0,2025-02-01 22:47:26
2,2025-02-01 13:45:49,2025-02-01 14:18:58,1.0,7.3,1.0,N,132,76,1,39.4,0.0,0.5,0.0,0.0,1.0,42.65,0.0,1.75,0.0,2025-02-01 13:45:49
2,2025-02-01 10:58:20,2025-02-01 11:34:30,3.0,10.58,1.0,N,138,142,1,47.8,5.0,0.5,12.75,6.94,1.0,78.24,2.5,1.75,0.0,2025-02-01 10:58:20
2,2025-02-01 12:04:06,2025-02-01 12:59:04,2.0,21.34,2.0,N,132,163,2,70.0,0.0,0.5,0.0,6.94,1.0,83.44,2.5,1.75,0.75,2025-02-01 12:04:06
2,2025-02-01 09:13:35,2025-02-01 09:48:34,2.0,21.48,2.0,N,132,261,1,70.0,0.0,0.5,10.0,6.94,1.0,93.44,2.5,1.75,0.75,2025-02-01 09:13:35
1,2025-02-01 05:26:12,2025-02-01 05:32:59,1.0,2.1,1.0,N,138,138,1,10.7,7.75,0.5,4.0,0.0,1.0,23.95,0.0,1.75,0.0,2025-02-01 05:26:12
2,2025-02-01 20:06:13,2025-02-01 20:50:31,1.0,25.77,2.0,N,132,239,1,70.0,0.0,0.5,16.19,6.94,1.0,98.88,2.5,1.75,0.0,2025-02-01 20:06:13
2,2025-02-01 11:17:38,2025-02-01 11:18:30,1.0,0.07,1.0,N,70,138,2,3.0,5.0,0.5,0.0,0.0,1.0,11.25,0.0,1.75,0.0,2025-02-01 11:17:38
2,2025-02-01 22:06:22,2025-02-01 22:29:56,1.0,9.77,1.0,N,138,79,1,40.8,6.0,0.5,10.31,0.0,1.0,63.61,2.5,1.75,0.75,2025-02-01 22:06:22
1,2025-02-01 16:46:51,2025-02-01 17:38:21,1.0,23.3,1.0,N,132,217,1,86.3,1.75,0.5,17.9,0.0,1.0,107.45,0.0,1.75,0.0,2025-02-01 16:46:51
2,2025-02-01 23:16:20,2025-02-01 23:47:46,1.0,18.9,2.0,N,132,263,1,70.0,0.0,0.5,16.19,6.94,1.0,98.88,2.5,1.75,0.0,2025-02-01 23:16:20
2,2025-02-01 21:14:51,2025-02-01 21:50:35,1.0,20.26,2.0,N,132,236,1,70.0,0.0,0.5,16.34,6.94,1.0,99.78,2.5,1.75,0.75,2025-02-01 21:14:51
